step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
1464,5.27040000000000000e+06,-1.97268632471971919e+35,2.57902736577497552e-12,1.17647744172032000e+15,3.18360656733699934e+31,0.00000000000000000e+00,4.65472972088911500e+15,1.50861297265463734e+09,8.42678118131163567e+07,0.00000000000000000e+00,8.42678118131163567e+07
1488,5.35680000000000000e+06,-1.97268632471966754e+35,2.55284434683309777e-12,3.18858372055040000e+14,3.18360656733699889e+31,0.00000000000000000e+00,9.01284134310797000e+15,1.50861297265463734e+09,8.56492513510363549e+07,0.00000000000000000e+00,8.56492513510363549e+07
1512,5.44320000000000000e+06,-1.97268632471961589e+35,2.52666132789121961e-12,-2.00111116255232000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80155099322021880e+16,1.50861297265463638e+09,8.70306908889562935e+07,0.00000000000000000e+00,8.70306908889562935e+07
1536,5.52960000000000000e+06,-1.97268632471956203e+35,2.49935617956611834e-12,6.32768941785088000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80255083199369040e+16,1.50861297265463638e+09,8.84121304268761873e+07,0.00000000000000000e+00,8.84121304268761873e+07
1560,5.61600000000000000e+06,-1.97268632471950632e+35,2.47111592342166441e-12,1.40572561611161600e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.35837311126456500e+16,1.50861297265463638e+09,8.97935699647962004e+07,0.00000000000000000e+00,8.97935699647962004e+07
1584,5.70240000000000000e+06,-1.97268632471945024e+35,2.44268864571333963e-12,2.14129889509376000e+15,3.18360656733699754e+31,0.00000000000000000e+00,2.26195800369817120e+16,1.50861297265463662e+09,9.11750095027161390e+07,0.00000000000000000e+00,9.11750095027161390e+07
1608,5.78880000000000000e+06,-1.97268632471939748e+35,2.41594456207985012e-12,1.95823020906905600e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.36519724576551820e+16,1.50861297265463614e+09,9.25564490406360924e+07,0.00000000000000000e+00,9.25564490406360924e+07
1632,5.87520000000000000e+06,-1.97268632471934473e+35,2.38920047844636061e-12,1.01869752313446400e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.35491487214697480e+16,1.50861297265463495e+09,9.39378885785559863e+07,0.00000000000000000e+00,9.39378885785559863e+07
1656,5.96160000000000000e+06,-1.97268632471929750e+35,2.36526171827092949e-12,2.74328151130112000e+15,3.18360656733699889e+31,0.00000000000000000e+00,9.41569072691182000e+15,1.50861297265463424e+09,9.53193281164759398e+07,0.00000000000000000e+00,9.53193281164759398e+07
1680,6.04800000000000000e+06,-1.97268632471924733e+35,2.33982678558453354e-12,1.78945517420544000e+15,3.18360656733699844e+31,0.00000000000000000e+00,1.36287870426298640e+16,1.50861297265463448e+09,9.67007676543959081e+07,0.00000000000000000e+00,9.67007676543959081e+07
1704,6.13440000000000000e+06,-1.97268632471919973e+35,2.31570100384523197e-12,5.69547023187968000e+14,3.18360656733699934e+31,0.00000000000000000e+00,4.53947060958367100e+15,1.50861297265463424e+09,9.80822071923158467e+07,0.00000000000000000e+00,9.80822071923158467e+07
1728,6.22080000000000000e+06,-1.97268632471916100e+35,2.29606373963882325e-12,1.76636543002214400e+15,3.18360656733699799e+31,0.00000000000000000e+00,1.81007900515641600e+16,1.50861297265463495e+09,9.94636467302357703e+07,0.00000000000000000e+00,9.94636467302357703e+07
1752,6.30720000000000000e+06,-1.97268632471912041e+35,2.27549136761306227e-12,-1.02804337197056000e+14,3.18360656733699889e+31,0.00000000000000000e+00,9.00778591810180600e+15,1.50861297265463614e+09,1.00845086268155649e+08,0.00000000000000000e+00,1.00845086268155649e+08
1776,6.39360000000000000e+06,-1.97268632471908721e+35,2.25865942686471194e-12,8.25183476645888000e+14,3.18360656733699979e+31,0.00000000000000000e+00,8.25183476645888000e+14,1.50861297265463662e+09,1.02226525806075603e+08,0.00000000000000000e+00,1.02226525806075603e+08
1800,6.48000000000000000e+06,-1.97268632471906360e+35,2.24669004677699659e-12,2.31447197646848000e+14,3.18360656733699979e+31,0.00000000000000000e+00,2.31447197646848000e+14,1.50861297265463734e+09,1.03607965343995526e+08,0.00000000000000000e+00,1.03607965343995526e+08
1824,6.56640000000000000e+06,-1.97268632471904478e+35,2.23715194701959790e-12,5.42608988307456000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.53616954244919200e+15,1.50861297265463734e+09,1.04989404881915435e+08,0.00000000000000000e+00,1.04989404881915435e+08
1848,6.65280000000000000e+06,-1.97268632471903408e+35,2.23172832166735198e-12,8.63116627804160000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.58556211568916500e+15,1.50861297265463781e+09,1.06370844419835433e+08,0.00000000000000000e+00,1.06370844419835433e+08
1872,6.73920000000000000e+06,-1.97268632471903002e+35,2.22967108446477580e-12,2.08412429044940800e+15,3.18360656733699934e+31,0.00000000000000000e+00,4.96245742165037800e+15,1.50861297265463829e+09,1.07752283957755357e+08,0.00000000000000000e+00,1.07752283957755357e+08
1896,6.82560000000000000e+06,-1.97268632471903445e+35,2.23191534323122243e-12,-4.78837313896448000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.52898385698505600e+15,1.50861297265463829e+09,1.09133723495675325e+08,0.00000000000000000e+00,1.09133723495675325e+08
1920,6.91200000000000000e+06,-1.97268632471904146e+35,2.23546875294476303e-12,4.27710023204864000e+14,3.18360656733699934e+31,0.00000000000000000e+00,4.52386399746959400e+15,1.50861297265463853e+09,1.10515163033595264e+08,0.00000000000000000e+00,1.10515163033595264e+08
1944,6.99840000000000000e+06,-1.97268632471906397e+35,2.24687706834086704e-12,1.16603208125644800e+15,3.18360656733699889e+31,0.00000000000000000e+00,9.08236033358762600e+15,1.50861297265463877e+09,1.11896602571515158e+08,0.00000000000000000e+00,1.11896602571515158e+08
1968,7.08480000000000000e+06,-1.97268632471909496e+35,2.26258687970599385e-12,9.22490255704064000e+14,3.18360656733699844e+31,0.00000000000000000e+00,1.35422551557978700e+16,1.50861297265463877e+09,1.13278042109435111e+08,0.00000000000000000e+00,1.13278042109435111e+08
1992,7.17120000000000000e+06,-1.97268632471913185e+35,2.28128903609304950e-12,1.77131323234713600e+15,3.18360656733699799e+31,0.00000000000000000e+00,1.81012735525850440e+16,1.50861297265463877e+09,1.14659481647355080e+08,0.00000000000000000e+00,1.14659481647355080e+08
2016,7.25760000000000000e+06,-1.97268632471917834e+35,2.30485375314073972e-12,1.29357543007846400e+15,3.18360656733699709e+31,0.00000000000000000e+00,2.70525430066151600e+16,1.50861297265463924e+09,1.16040921185275033e+08,0.00000000000000000e+00,1.16040921185275033e+08
2040,7.34400000000000000e+06,-1.97268632471923626e+35,2.33421613866841676e-12,4.29909046460416000e+14,3.18360656733699799e+31,0.00000000000000000e+00,1.80195276144147360e+16,1.50861297265463877e+09,1.17422360723195016e+08,0.00000000000000000e+00,1.17422360723195016e+08
